Anonymous ID,Year,Prior Stat,Other Stat,Prior CS,Other CS,Prior Math,Other Math,How would you best describe your confidence with Tinker Plots?,How would you best describe your confidence with statistical concepts?,How would you best describe your confidence with R and RStudio?,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5,SD
83,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confident when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confident when using R and RStudio,9,5,3,9,6,8,7,5,6,8,3,1,4,6,2,6,6,9,6,6,2.291287847
84,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.),AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.),Introductory CS course for non-CS/CE/ECE majors (eg. CS 101, CS 105),Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128)",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I feel confident using Tinker Plots most of the time,I occasionally feel confident when engaging with statistical concepts,I feel confident using R and RStudio most of the time,9,7,10,8,9,9,10,9,8,8,8,8,8,8,8,9,9,9,7,7,0.8825799502
85,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,College level Calculus (eg. Math 221/231/241),,I feel confident using Tinker Plots most of the time,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confident when using R and RStudio,9,9,9,7,9,5,5,6,5,6,6,10,7,8,7,7,7,8,9,10,1.637552731
87,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confident when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I feel confused using R and RStudio most of the time,7,6,8,5,6,7,7,5,7,7,7,7,6,8,5,7,7,6,6,7,0.8870412083
89,Sophomore (2nd Year),Introductory College Statistics Course (100 or 200 level course),,Other,,AP Calculus AB/BC,,I occasionally feel confident when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confused when using R and RStudio,9,7,8,9,10,10,10,10,10,9,10,10,8,9,10,10,9,9,10,10,0.8750939799
90,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,No prior Calculus Experience,,I occasionally feel confused when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I feel confused using R and RStudio most of the time,9,10,5,9,7,4,4,5,4,4,6,8,9,9,6,10,10,10,8,8,2.291287847
91,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confused when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I feel confused using R and RStudio most of the time,8,10,9,5,8,7,7,6,7,7,4,6,7,8,8,9,9,9,9,8,1.503504678
92,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.)",,AP Calculus AB/BC,,I occasionally feel confused when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I occasionally feel confident when using R and RStudio,6,5,5,7,7,4,4,5,5,5,5,6,6,7,5,9,9,8,7,8,1.531253357
93,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course,Introductory College Statistics Course (100 or 200 level course)",,No prior programming or computer science courses taken,,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confused when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I feel confused using R and RStudio most of the time,10,10,10,10,10,6,7,6,6,5,7,10,10,10,10,7,10,10,10,10,1.866604009
94,Freshman (1st Year),No prior statistics courses taken,,"AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.)",,AP Calculus AB/BC,,I feel confident using Tinker Plots most of the time,I occasionally feel confident when engaging with statistical concepts,I feel confident using R and RStudio most of the time,9,8,7,9,8,8,7,10,8,9,8,8,9,9,9,8,8,8,8,9,0.7451598204
